,name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
81,1103,1,1,3.9,291,30,13,368,650.0,2748
82,2378,1,0,4.5,155,30,9,228,300.0,5047
83,39,1,0,4.1,305,46,20,965,700.0,5047
84,1971,1,0,3.9,38,1,30,949,150.0,5047
85,858,1,0,3.9,441,1,62,1592,400.0,5047
86,1445,1,0,4.3,630,30,62,1454,200.0,5047
87,1362,1,0,3.9,160,46,62,84,300.0,5047
88,1760,1,0,4.2,287,1,62,1156,350.0,5047
89,535,1,0,4.1,402,1,13,332,500.0,5047
90,1086,1,0,3.8,469,4,20,1208,750.0,5047
91,1973,1,0,3.3,511,46,20,166,550.0,5047
92,1058,1,0,3.9,264,1,62,1547,200.0,5047
93,2900,1,0,3.0,62,1,13,444,400.0,5047
94,2083,1,0,3.8,693,1,20,1474,750.0,5047
95,1672,1,0,3.8,242,30,20,1089,650.0,5047
96,2960,1,0,4.1,163,4,62,684,500.0,5047
97,717,1,0,4.2,191,4,62,1636,250.0,3959
98,2084,1,0,3.5,32,1,62,1486,150.0,5047
99,769,1,0,2.5,247,1,20,1156,500.0,5047
100,684,1,1,4.1,2339,30,20,1206,1500.0,5047
101,1834,1,0,4.1,337,30,62,547,300.0,5047
102,2693,1,0,3.9,135,1,20,1222,800.0,5047
103,572,1,0,3.6,172,79,20,1196,700.0,5047
104,3028,1,0,3.6,105,1,20,1678,700.0,5047
105,2460,1,0,4.2,504,1,13,485,550.0,5047
106,2942,1,1,4.3,1129,30,20,1009,1300.0,5047
107,2562,1,0,4.3,860,1,30,789,500.0,5047
108,577,1,0,3.8,412,30,20,77,700.0,5047
109,296,1,1,3.9,142,30,20,1093,1000.0,5047
110,1902,1,0,3.6,143,30,20,1554,750.0,5047
111,1432,1,0,4.4,181,30,9,231,250.0,5047
112,2938,1,0,3.8,70,30,62,1451,200.0,5047
113,2086,1,0,3.8,164,4,62,1476,600.0,5047
114,342,1,0,3.6,58,46,62,366,650.0,5047
115,2546,0,0,3.8,148,4,22,1194,550.0,5047
116,1494,0,0,3.9,206,4,62,1585,450.0,5047
117,2163,0,0,3.7,217,4,20,1281,450.0,5047
118,1165,0,0,3.8,148,4,62,873,150.0,5047
